YearBuilt,Elevators,Area,Manager,Floor,APT,FacilitiesNearBy(PublicOffice),FacilitiesNearBy(Mall),FacilitiesNearBy(Hospital),FacilitiesNearBy(Park),FacilitiesNearBy(DepartmentStore),FacilitiesInApt,Parkinglot(Ground),Parkinglot(Basement),TimeToBusStop,TimeToSubway,SchoolNearBy(Elementary),SchoolNearBy(High),SchoolNearBy(Middle),SchoolNearBy(University),SalePrice
2007,16,868,14,9,7,3,1,1,2,2,1,,127,9,22,3,2,3,2,279646
2006,11,857,3,3,3,3,1,1,,1,4,123,181,28,28,4,3,3,1,22654
1997,4,644,2,1,1,7,1,1,1,2,5,82,56,20,0,4,,,3,117699
2009,5,91,2,14,1,2,,1,1,,5,25,23,8,16,2,1,1,1,238938
2009,5,116,2,13,1,2,,1,1,,5,25,23,26,18,2,1,1,1,262831
2006,,814,3,14,3,2,1,1,,1,5,111,184,8,4,3,2,2,2,221238
2006,,91,3,12,3,2,1,1,,1,5,111,184,4,18,3,2,2,2,2477
2006,,636,3,14,3,2,1,1,,1,5,111,184,14,2,3,2,2,2,2221
2007,5,1273,5,15,2,4,1,1,1,2,5,7,65,26,2,2,1,1,1,276548
2007,5,169,5,6,2,4,1,1,1,2,5,7,65,20,29,2,1,1,1,32923
2007,5,1444,5,24,2,4,1,1,1,2,5,7,65,2,16,2,1,1,1,313274
2006,11,1743,5,6,6,1,1,1,,,5,249,536,0,7,2,1,2,2,327433
2006,11,1743,5,18,6,1,1,1,,,5,249,536,5,15,2,1,2,2,332743
2006,11,914,5,7,6,1,1,1,,,5,249,536,25,26,2,1,2,2,23853
2006,11,1412,5,31,6,1,1,1,,,5,249,536,10,21,2,1,2,2,32654
2006,11,914,5,12,6,1,1,1,,,5,249,536,24,1,2,1,2,2,253982
2006,11,1412,5,18,6,1,1,1,,,5,249,536,20,23,2,1,2,2,324778
2008,14,914,6,3,6,3,1,1,1,1,8,197,475,24,17,2,2,3,2,234513
2014,,288,3,4,1,3,1,1,1,2,2,11,18,1,7,2,2,2,2,9617
1992,1,355,5,5,3,7,1,1,1,1,3,2,,11,2,4,5,3,5,61946
2005,,572,6,5,8,5,1,2,,,7,67,798,16,30,3,4,4,4,153982
1993,2,644,8,14,8,6,1,2,,,4,523,536,27,30,4,5,3,5,166371
2008,14,1167,6,17,6,3,1,1,1,1,8,197,475,28,17,2,2,3,2,283185
1993,2,1288,8,19,8,6,1,2,,,4,523,536,4,7,4,5,3,5,26161
2008,14,1167,6,2,6,3,1,1,1,1,8,197,475,5,17,2,2,3,2,37964
2008,14,914,6,12,6,3,1,1,1,1,8,197,475,14,5,2,2,3,2,254867
1993,2,1288,8,5,8,6,1,2,,,4,523,536,21,12,4,5,3,5,26176
1993,2,1451,8,25,8,6,1,2,,,4,523,536,21,4,4,5,3,5,234513
1992,8,644,4,6,3,5,1,1,,1,3,142,79,25,6,3,4,3,4,134513
2008,14,914,6,24,6,3,1,1,1,1,8,197,475,28,23,2,2,3,2,271681
2005,,743,6,21,8,5,1,2,,,7,67,798,3,6,3,4,4,4,2539
2007,1,914,5,16,3,2,2,2,1,2,4,554,524,7,4,2,2,2,2,237168
2005,,743,6,12,8,5,1,2,,,7,67,798,20,30,3,4,4,4,199115
2007,1,1419,5,29,3,2,2,2,1,2,4,554,524,29,30,2,2,2,2,318584
2005,,572,6,16,8,5,1,2,,,7,67,798,8,1,3,4,4,4,16926
1992,8,644,4,3,3,5,1,1,,1,3,142,79,20,3,3,4,3,4,123893
2005,,914,6,19,8,5,1,2,,,7,67,798,1,0,3,4,4,4,2388
2005,,743,6,17,8,5,1,2,,,7,67,798,30,16,3,4,4,4,23539
2005,,572,6,11,8,5,1,2,,,7,67,798,2,23,3,4,4,4,169911
2007,1,113,5,17,3,2,2,2,1,2,4,554,524,1,10,2,2,2,2,254867
2006,11,93,3,13,3,3,1,1,,1,4,123,181,24,4,4,3,3,1,216814
2007,16,868,14,16,7,3,1,1,2,2,1,,127,19,17,3,2,3,2,28584
1986,27,1131,8,8,7,5,,1,1,1,4,713,,6,18,3,1,1,1,21176
2006,11,857,3,13,3,3,1,1,,1,4,123,181,7,4,4,3,3,1,217256
1986,27,1131,8,8,7,5,,1,1,1,4,713,,7,9,3,1,1,1,216814
2006,11,93,3,14,3,3,1,1,,1,4,123,181,8,19,4,3,3,1,21161
1986,27,1377,8,7,7,5,,1,1,1,4,713,,5,20,3,1,1,1,24469
2006,11,93,3,5,3,3,1,1,,1,4,123,181,0,26,4,3,3,1,22212
2006,11,857,3,5,3,3,1,1,,1,4,123,181,11,27,4,3,3,1,23539
2007,16,1387,14,26,7,3,1,1,2,2,1,,127,29,26,3,2,3,2,345132
1986,27,1131,8,11,7,5,,1,1,1,4,713,,6,24,3,1,1,1,217699
1986,27,1796,8,11,7,5,,1,1,1,4,713,,11,9,3,1,1,1,247787
2006,11,93,3,13,3,3,1,1,,1,4,123,181,24,1,4,3,3,1,212389
1997,4,558,2,3,1,7,1,1,1,2,5,82,56,0,12,4,,,3,14424
1997,4,558,2,6,1,7,1,1,1,2,5,82,56,0,21,4,,,3,112389
2009,5,91,2,12,1,2,,1,1,,5,25,23,8,24,2,1,1,1,2388
2013,14,97,6,7,7,5,1,1,1,1,7,8,93,17,22,4,2,2,3,283185
2013,14,97,6,5,7,5,1,1,1,1,7,8,93,18,27,4,2,2,3,281415
2013,14,97,6,9,7,5,1,1,1,1,7,8,93,23,17,4,2,2,3,283185
2006,,811,3,3,3,2,1,1,,1,5,111,184,23,30,3,2,2,2,219911
2006,,91,3,7,3,2,1,1,,1,5,111,184,19,27,3,2,2,2,226991
2006,,91,3,4,3,2,1,1,,1,5,111,184,14,26,3,2,2,2,243362
2006,,814,3,18,3,2,1,1,,1,5,111,184,6,19,3,2,2,2,2238
2014,,156,4,14,1,4,,1,,,1,,218,9,1,,,,1,61946
2014,,156,4,12,1,4,,1,,,1,,218,7,27,,,,1,6154
2007,5,1444,5,21,2,4,1,1,1,2,5,7,65,1,11,2,1,1,1,318584
2007,5,1629,5,17,2,4,1,1,1,2,5,7,65,15,5,2,1,1,1,331858
2006,11,818,5,2,6,1,1,1,,,5,249,536,17,12,2,1,2,2,212389
2006,11,256,5,13,6,1,1,1,,,5,249,536,27,30,2,1,2,2,362831
2006,11,1437,5,26,6,1,1,1,,,5,249,536,2,22,2,1,2,2,34692
2005,,743,6,14,8,5,1,2,,,7,67,798,27,30,3,4,4,4,2779
2005,,914,6,22,8,5,1,2,,,7,67,798,18,21,3,4,4,4,243362
1993,2,644,8,4,8,6,1,2,,,4,523,536,22,25,4,5,3,5,14617
2005,,914,6,18,8,5,1,2,,,7,67,798,28,15,3,4,4,4,234513
1993,2,914,8,25,8,6,1,2,,,4,523,536,20,9,4,5,3,5,181415
1993,2,914,8,15,8,6,1,2,,,4,523,536,24,20,4,5,3,5,18761
2008,14,914,6,13,6,3,1,1,1,1,8,197,475,20,9,2,2,3,2,26161
1993,2,1761,8,9,8,6,1,2,,,4,523,536,15,15,4,5,3,5,26161
1992,8,1448,4,4,3,5,1,1,,1,3,142,79,28,13,3,4,3,4,19265
1992,8,644,4,5,3,5,1,1,,1,3,142,79,24,6,3,4,3,4,1388
2005,,743,6,21,8,5,1,2,,,7,67,798,29,30,3,4,4,4,26637
2005,,743,6,12,8,5,1,2,,,7,67,798,6,29,3,4,4,4,2779
2005,,914,6,13,8,5,1,2,,,7,67,798,21,0,3,4,4,4,24692
1993,2,644,8,7,8,6,1,2,,,4,523,536,6,23,4,5,3,5,141592
1993,2,644,8,21,8,6,1,2,,,4,523,536,6,8,4,5,3,5,159292
2008,14,829,6,2,6,3,1,1,1,1,8,197,475,1,2,2,2,3,2,227433
1993,2,914,8,12,8,6,1,2,,,4,523,536,22,2,4,5,3,5,19469
1993,2,644,8,15,8,6,1,2,,,4,523,536,16,29,4,5,3,5,14617
2008,14,829,6,12,6,3,1,1,1,1,8,197,475,5,20,2,2,3,2,236725
2005,,743,6,6,8,5,1,2,,,7,67,798,4,18,3,4,4,4,23539
1992,8,644,4,9,3,5,1,1,,1,3,142,79,29,18,3,4,3,4,134513
1993,2,644,8,14,8,6,1,2,,,4,523,536,15,26,4,5,3,5,157522
2007,1,1394,5,6,3,2,2,2,1,2,4,554,524,8,30,2,2,2,2,265486
1992,1,355,5,2,3,7,1,1,1,1,3,2,,23,2,4,5,3,5,63716
2008,14,829,6,5,6,3,1,1,1,1,8,197,475,27,29,2,2,3,2,233628
1992,1,576,5,12,3,7,1,1,1,1,3,2,,16,3,4,5,3,5,1
2005,,743,6,1,8,5,1,2,,,7,67,798,23,23,3,4,4,4,23539
2008,14,1167,6,7,6,3,1,1,1,1,8,197,475,9,10,2,2,3,2,38849
1993,2,914,8,2,8,6,1,2,,,4,523,536,3,22,4,5,3,5,19385
1993,2,1761,8,8,8,6,1,2,,,4,523,536,10,29,4,5,3,5,256637
2007,1,1394,5,24,3,2,2,2,1,2,4,554,524,23,28,2,2,2,2,286283
2007,16,1643,14,25,7,3,1,1,2,2,1,,127,30,4,3,2,3,2,3477
1986,27,1377,8,1,7,5,,1,1,1,4,713,,7,14,3,1,1,1,247787
2007,16,1643,14,3,7,3,1,1,2,2,1,,127,18,18,3,2,3,2,33853
2007,16,1643,14,15,7,3,1,1,2,2,1,,127,7,18,3,2,3,2,323389
1986,27,1131,8,4,7,5,,1,1,1,4,713,,4,14,3,1,1,1,2238
2007,16,1928,14,33,7,3,1,1,2,2,1,,127,12,27,3,2,3,2,43853
2006,11,93,3,7,3,3,1,1,,1,4,123,181,17,8,4,3,3,1,22923
1986,27,1131,8,13,7,5,,1,1,1,4,713,,4,21,3,1,1,1,225663
2007,16,1519,14,8,7,3,1,1,2,2,1,,127,13,18,3,2,3,2,3853
2007,16,868,14,21,7,3,1,1,2,2,1,,127,13,3,3,2,3,2,269911
2006,11,857,3,2,3,3,1,1,,1,4,123,181,2,26,4,3,3,1,26194
2007,16,1387,14,23,7,3,1,1,2,2,1,,127,29,19,3,2,3,2,349557
1986,27,1377,8,3,7,5,,1,1,1,4,713,,30,0,3,1,1,1,247787
2007,16,868,14,24,7,3,1,1,2,2,1,,127,23,2,3,2,3,2,299115
1986,27,914,8,3,7,5,,1,1,1,4,713,,19,5,3,1,1,1,18584
2007,16,1387,14,19,7,3,1,1,2,2,1,,127,25,28,3,2,3,2,353982
1997,4,644,2,11,1,7,1,1,1,2,5,82,56,19,4,4,,,3,132743
1997,4,43,2,5,1,7,1,1,1,2,5,82,56,13,7,4,,,3,84955
1997,4,558,2,8,1,7,1,1,1,2,5,82,56,15,5,4,,,3,11154
2009,5,91,2,7,1,2,,1,1,,5,25,23,10,16,2,1,1,1,243362
2013,14,91,6,14,7,5,1,1,1,1,7,8,93,30,18,4,2,2,3,29646
2006,,91,3,8,3,2,1,1,,1,5,111,184,9,25,3,2,2,2,24292
2006,,91,3,7,3,2,1,1,,1,5,111,184,26,3,3,2,2,2,247345
2006,,91,3,9,3,2,1,1,,1,5,111,184,30,10,3,2,2,2,238938
2006,,636,3,6,3,2,1,1,,1,5,111,184,6,18,3,2,2,2,19692
2006,,91,3,14,3,2,1,1,,1,5,111,184,20,21,3,2,2,2,2388
2007,5,1629,5,7,2,4,1,1,1,2,5,7,65,11,2,2,1,1,1,319469
1986,2,58,1,3,1,5,1,1,1,2,3,1,18,4,3,6,3,2,2,847
2006,11,1412,5,3,6,1,1,1,,,5,249,536,5,10,2,1,2,2,336283
2006,11,256,5,25,6,1,1,1,,,5,249,536,21,15,2,1,2,2,369911
1993,2,914,8,14,8,6,1,2,,,4,523,536,15,4,4,5,3,5,18761
2014,,288,3,5,1,3,1,1,1,2,2,11,18,19,11,2,2,2,2,9617
2005,,572,6,8,8,5,1,2,,,7,67,798,0,16,3,4,4,4,161946
2014,,288,3,4,1,3,1,1,1,2,2,11,18,25,20,2,2,2,2,9617
1992,8,644,4,11,3,5,1,1,,1,3,142,79,21,16,3,4,3,4,138938
2014,,27,3,13,1,3,1,1,1,2,2,11,18,23,8,2,2,2,2,92831
2014,,288,3,13,1,3,1,1,1,2,2,11,18,12,7,2,2,2,2,98761
2007,1,1448,5,3,3,2,2,2,1,2,4,554,524,19,11,2,2,2,2,3238
1992,1,64,5,14,3,7,1,1,1,1,3,2,,24,30,4,5,3,5,119469
1993,2,644,8,6,8,6,1,2,,,4,523,536,15,19,4,5,3,5,147787
1993,2,644,8,9,8,6,1,2,,,4,523,536,1,13,4,5,3,5,153982
1993,2,644,8,17,8,6,1,2,,,4,523,536,3,27,4,5,3,5,157522
1992,8,644,4,19,3,5,1,1,,1,3,142,79,4,29,3,4,3,4,129646
2014,,288,3,2,1,3,1,1,1,2,2,11,18,0,7,2,2,2,2,88318
1993,2,914,8,22,8,6,1,2,,,4,523,536,10,1,4,5,3,5,18584
2005,,914,6,24,8,5,1,2,,,7,67,798,19,17,3,4,4,4,225663
1993,2,644,8,2,8,6,1,2,,,4,523,536,2,18,4,5,3,5,152212
2007,1,1394,5,24,3,2,2,2,1,2,4,554,524,4,4,2,2,2,2,312389
2005,,743,6,22,8,5,1,2,,,7,67,798,3,12,3,4,4,4,199115
2008,14,914,6,19,6,3,1,1,1,1,8,197,475,0,6,2,2,3,2,24692
2014,,288,3,15,1,3,1,1,1,2,2,11,18,25,18,2,2,2,2,99823
1993,2,1761,8,24,8,6,1,2,,,4,523,536,29,27,4,5,3,5,26176
2014,,288,3,16,1,3,1,1,1,2,2,11,18,27,28,2,2,2,2,99823
2007,1,1394,5,1,3,2,2,2,1,2,4,554,524,14,12,2,2,2,2,29235
1993,2,644,8,16,8,6,1,2,,,4,523,536,27,23,4,5,3,5,153982
2008,14,829,6,3,6,3,1,1,1,1,8,197,475,11,5,2,2,3,2,228318
1992,8,644,4,11,3,5,1,1,,1,3,142,79,27,24,3,4,3,4,1388
2008,14,829,6,11,6,3,1,1,1,1,8,197,475,20,26,2,2,3,2,24115
1986,27,914,8,1,7,5,,1,1,1,4,713,,6,5,3,1,1,1,19235
2006,11,1192,3,2,3,3,1,1,,1,4,123,181,3,3,4,3,3,1,245132
2007,16,1643,14,16,7,3,1,1,2,2,1,,127,30,4,3,2,3,2,32461
2006,11,93,3,6,3,3,1,1,,1,4,123,181,15,17,4,3,3,1,228318
2007,16,1643,14,22,7,3,1,1,2,2,1,,127,12,18,3,2,3,2,339513
2007,16,1387,14,35,7,3,1,1,2,2,1,,127,18,4,3,2,3,2,353982
1986,27,914,8,4,7,5,,1,1,1,4,713,,0,2,3,1,1,1,184955
1986,27,1131,8,4,7,5,,1,1,1,4,713,,16,25,3,1,1,1,29734
2007,16,1387,14,39,7,3,1,1,2,2,1,,127,3,10,3,2,3,2,35847
1997,4,644,2,13,1,7,1,1,1,2,5,82,56,23,10,4,,,3,136283
1997,4,43,2,1,1,7,1,1,1,2,5,82,56,27,21,4,,,3,88495
1997,4,558,2,4,1,7,1,1,1,2,5,82,56,2,10,4,,,3,11176
2006,,91,3,17,3,2,1,1,,1,5,111,184,26,14,3,2,2,2,251327
2006,,91,3,17,3,2,1,1,,1,5,111,184,23,2,3,2,2,2,252212
2006,,814,3,1,3,2,1,1,,1,5,111,184,14,28,3,2,2,2,212389
2007,5,1483,5,5,2,4,1,1,1,2,5,7,65,11,3,2,1,1,1,283185
2007,5,169,5,25,2,4,1,1,1,2,5,7,65,16,11,2,1,1,1,365486
2006,11,1743,5,2,6,1,1,1,,,5,249,536,6,20,2,1,2,2,386725
1993,2,644,8,3,8,6,1,2,,,4,523,536,18,13,4,5,3,5,148672
1993,2,914,8,11,8,6,1,2,,,4,523,536,13,5,4,5,3,5,195575
1993,2,644,8,15,8,6,1,2,,,4,523,536,6,0,4,5,3,5,155752
2007,1,1448,5,3,3,2,2,2,1,2,4,554,524,3,1,2,2,2,2,344247
1992,8,914,4,15,3,5,1,1,,1,3,142,79,8,20,3,4,3,4,171681
2008,14,829,6,12,6,3,1,1,1,1,8,197,475,8,13,2,2,3,2,24617
1993,2,644,8,11,8,6,1,2,,,4,523,536,16,4,4,5,3,5,16176
1992,1,355,5,2,3,7,1,1,1,1,3,2,,12,19,4,5,3,5,7796
1992,1,576,5,14,3,7,1,1,1,1,3,2,,4,7,4,5,3,5,19734
2005,,572,6,14,8,5,1,2,,,7,67,798,25,29,3,4,4,4,167256
2007,1,914,5,27,3,2,2,2,1,2,4,554,524,9,21,2,2,2,2,244247
2005,,914,6,15,8,5,1,2,,,7,67,798,27,18,3,4,4,4,226548
2014,,288,3,13,1,3,1,1,1,2,2,11,18,21,9,2,2,2,2,1539
2008,14,829,6,7,6,3,1,1,1,1,8,197,475,18,20,2,2,3,2,238938
2014,,288,3,5,1,3,1,1,1,2,2,11,18,25,11,2,2,2,2,9847
2008,14,914,6,16,6,3,1,1,1,1,8,197,475,29,15,2,2,3,2,256637
1993,2,644,8,15,8,6,1,2,,,4,523,536,19,4,4,5,3,5,154867
2008,14,829,6,14,6,3,1,1,1,1,8,197,475,11,9,2,2,3,2,243362
1992,1,576,5,8,3,7,1,1,1,1,3,2,,13,8,4,5,3,5,11461
2008,14,1167,6,1,6,3,1,1,1,1,8,197,475,20,2,2,2,3,2,247787
1992,1,355,5,9,3,7,1,1,1,1,3,2,,14,18,4,5,3,5,64159
1992,8,914,4,5,3,5,1,1,,1,3,142,79,24,7,3,4,3,4,178761
2007,16,868,14,6,7,3,1,1,2,2,1,,127,9,6,3,2,3,2,274336
2007,16,1643,14,2,7,3,1,1,2,2,1,,127,24,22,3,2,3,2,356637
2007,16,1643,14,6,7,3,1,1,2,2,1,,127,9,18,3,2,3,2,32215
2007,16,1643,14,18,7,3,1,1,2,2,1,,127,23,13,3,2,3,2,349557
1986,27,914,8,3,7,5,,1,1,1,4,713,,8,22,3,1,1,1,1847
1986,27,1377,8,7,7,5,,1,1,1,4,713,,21,19,3,1,1,1,245575
1978,4,93,1,6,2,3,1,2,,1,3,87,,27,21,3,3,3,2,167256
2007,16,868,14,24,7,3,1,1,2,2,1,,127,16,16,3,2,3,2,267699
2007,16,1928,14,28,7,3,1,1,2,2,1,,127,0,3,3,2,3,2,386469
1986,27,914,8,12,7,5,,1,1,1,4,713,,27,24,3,1,1,1,18584
2006,,91,3,8,3,2,1,1,,1,5,111,184,19,29,3,2,2,2,247787
2006,,811,3,5,3,2,1,1,,1,5,111,184,11,29,3,2,2,2,226548
2006,,91,3,2,3,2,1,1,,1,5,111,184,10,11,3,2,2,2,225663
1985,2,587,2,5,1,5,1,1,1,2,3,8,76,22,29,2,1,1,,86283
2014,,16,4,19,1,4,,1,,,1,,218,17,24,,,,1,57522
2007,5,1483,5,2,2,4,1,1,1,2,5,7,65,6,6,2,1,1,1,3779
2007,5,169,5,5,2,4,1,1,1,2,5,7,65,21,14,2,1,1,1,345132
2007,5,1444,5,28,2,4,1,1,1,2,5,7,65,30,26,2,1,1,1,3779
2006,11,914,5,3,6,1,1,1,,,5,249,536,10,5,2,1,2,2,256637
2006,11,818,5,14,6,1,1,1,,,5,249,536,0,25,2,1,2,2,232743
2005,,743,6,9,8,5,1,2,,,7,67,798,11,11,3,4,4,4,23539
2005,,743,6,6,8,5,1,2,,,7,67,798,12,25,3,4,4,4,2
1993,2,914,8,2,8,6,1,2,,,4,523,536,16,29,4,5,3,5,178761
2005,,572,6,1,8,5,1,2,,,7,67,798,30,12,3,4,4,4,168141
1992,1,355,5,11,3,7,1,1,1,1,3,2,,5,21,4,5,3,5,6461
1993,2,2337,8,15,8,6,1,2,,,4,523,536,21,20,4,5,3,5,254424
2014,,288,3,1,1,3,1,1,1,2,2,11,18,27,21,2,2,2,2,15752
1992,8,644,4,11,3,5,1,1,,1,3,142,79,10,18,3,4,3,4,139823
1993,2,644,8,1,8,6,1,2,,,4,523,536,20,22,4,5,3,5,15397
2007,1,1419,5,2,3,2,2,2,1,2,4,554,524,9,17,2,2,2,2,321238
1992,1,355,5,1,3,7,1,1,1,1,3,2,,13,8,4,5,3,5,68141
2005,,572,6,1,8,5,1,2,,,7,67,798,0,20,3,4,4,4,143362
1992,1,355,5,8,3,7,1,1,1,1,3,2,,15,1,4,5,3,5,6926
1992,1,355,5,13,3,7,1,1,1,1,3,2,,14,14,4,5,3,5,6926
2005,,743,6,1,8,5,1,2,,,7,67,798,2,1,3,4,4,4,29734
2007,1,1419,5,4,3,2,2,2,1,2,4,554,524,5,30,2,2,2,2,279646
2008,14,1167,6,1,6,3,1,1,1,1,8,197,475,10,16,2,2,3,2,253982
2005,,572,6,5,8,5,1,2,,,7,67,798,15,30,3,4,4,4,159292
2005,,743,6,8,8,5,1,2,,,7,67,798,3,17,3,4,4,4,19823
2005,,914,6,11,8,5,1,2,,,7,67,798,0,22,3,4,4,4,238938
2008,14,914,6,18,6,3,1,1,1,1,8,197,475,16,6,2,2,3,2,252212
2014,,213,3,14,1,3,1,1,1,2,2,11,18,22,27,2,2,2,2,74778
2005,,914,6,6,8,5,1,2,,,7,67,798,19,12,3,4,4,4,223893
2005,,743,6,6,8,5,1,2,,,7,67,798,4,15,3,4,4,4,2
2007,16,1387,14,4,7,3,1,1,2,2,1,,127,11,8,3,2,3,2,3853
1986,27,292,8,8,7,5,,1,1,1,4,713,,3,15,3,1,1,1,3884
2007,16,1643,14,18,7,3,1,1,2,2,1,,127,6,21,3,2,3,2,367256
1978,4,779,1,1,2,3,1,2,,1,3,87,,19,19,3,3,3,2,1323
2007,16,1519,14,17,7,3,1,1,2,2,1,,127,23,28,3,2,3,2,367256
2007,16,1928,14,11,7,3,1,1,2,2,1,,127,25,4,3,2,3,2,361823
1978,4,93,1,8,2,3,1,2,,1,3,87,,26,28,3,3,3,2,156637
2006,11,93,3,13,3,3,1,1,,1,4,123,181,6,6,4,3,3,1,222123
2007,16,868,14,24,7,3,1,1,2,2,1,,127,6,19,3,2,3,2,28584
2007,16,1643,14,24,7,3,1,1,2,2,1,,127,12,3,3,2,3,2,371681
2007,16,1643,14,25,7,3,1,1,2,2,1,,127,14,5,3,2,3,2,362831
2007,16,1643,14,27,7,3,1,1,2,2,1,,127,19,19,3,2,3,2,343628
2007,16,868,14,26,7,3,1,1,2,2,1,,127,29,16,3,2,3,2,274336
1986,27,914,8,1,7,5,,1,1,1,4,713,,27,2,3,1,1,1,173451
2007,16,1387,14,4,7,3,1,1,2,2,1,,127,11,23,3,2,3,2,361946
2007,16,1928,14,12,7,3,1,1,2,2,1,,127,17,28,3,2,3,2,368398
2007,16,1643,14,8,7,3,1,1,2,2,1,,127,21,14,3,2,3,2,32388
2009,5,91,2,13,1,2,,1,1,,5,25,23,29,14,2,1,1,1,26619
2009,5,116,2,16,1,2,,1,1,,5,25,23,11,18,2,1,1,1,29235
2006,,814,3,15,3,2,1,1,,1,5,111,184,23,28,3,2,2,2,226991
2006,,91,3,18,3,2,1,1,,1,5,111,184,3,23,3,2,2,2,254867
1985,2,587,2,1,1,5,1,1,1,2,3,8,76,28,12,2,1,1,,9292
2014,,135,4,14,1,4,,1,,,1,,218,23,2,,,,1,6176
2014,,135,4,13,1,4,,1,,,1,,218,1,0,,,,1,6176
2014,,156,4,12,1,4,,1,,,1,,218,22,5,,,,1,63893
2007,5,1483,5,19,2,4,1,1,1,2,5,7,65,22,4,2,1,1,1,3884
2007,5,1444,5,3,2,4,1,1,1,2,5,7,65,6,25,2,1,1,1,295575
2007,5,1483,5,6,2,4,1,1,1,2,5,7,65,16,18,2,1,1,1,2888
2007,5,1483,5,1,2,4,1,1,1,2,5,7,65,29,22,2,1,1,1,362831
2007,5,1483,5,13,2,4,1,1,1,2,5,7,65,0,13,2,1,1,1,318584
1986,2,451,1,1,1,5,1,1,1,2,3,1,18,3,12,6,3,2,2,75221
2006,11,1743,5,16,6,1,1,1,,,5,249,536,22,23,2,1,2,2,349557
2014,2,91,7,2,1,7,1,1,,,9,9,1174,0,30,4,5,3,5,22469
1992,1,64,5,8,3,7,1,1,1,1,3,2,,9,27,4,5,3,5,11544
2008,14,914,6,6,6,3,1,1,1,1,8,197,475,27,14,2,2,3,2,253982
2007,1,1419,5,21,3,2,2,2,1,2,4,554,524,6,9,2,2,2,2,32353
2007,1,1419,5,7,3,2,2,2,1,2,4,554,524,24,24,2,2,2,2,32212
2007,1,113,5,9,3,2,2,2,1,2,4,554,524,10,18,2,2,2,2,255752
2007,1,914,5,17,3,2,2,2,1,2,4,554,524,0,20,2,2,2,2,24617
1992,8,644,4,1,3,5,1,1,,1,3,142,79,15,16,3,4,3,4,13973
1992,1,576,5,11,3,7,1,1,1,1,3,2,,4,27,4,5,3,5,13362
2005,,914,6,13,8,5,1,2,,,7,67,798,25,15,3,4,4,4,225663
1993,2,644,8,2,8,6,1,2,,,4,523,536,14,29,4,5,3,5,155752
2008,14,914,6,11,6,3,1,1,1,1,8,197,475,19,26,2,2,3,2,26161
2005,,914,6,18,8,5,1,2,,,7,67,798,1,26,3,4,4,4,2388
1993,2,644,8,3,8,6,1,2,,,4,523,536,13,22,4,5,3,5,15779
2005,,572,6,16,8,5,1,2,,,7,67,798,30,7,3,4,4,4,169469
1993,2,644,8,6,8,6,1,2,,,4,523,536,25,8,4,5,3,5,154867
2005,,743,6,22,8,5,1,2,,,7,67,798,4,17,3,4,4,4,26637
2014,2,64,7,22,1,7,1,1,,,9,9,1174,10,4,4,5,3,5,171238
2005,,743,6,1,8,5,1,2,,,7,67,798,28,22,3,4,4,4,19235
2008,14,1167,6,5,6,3,1,1,1,1,8,197,475,19,7,2,2,3,2,295575
2005,,914,6,19,8,5,1,2,,,7,67,798,14,18,3,4,4,4,236283
1993,2,914,8,3,8,6,1,2,,,4,523,536,25,6,4,5,3,5,2884
2007,16,1519,14,11,7,3,1,1,2,2,1,,127,29,10,3,2,3,2,353982
2007,16,1928,14,6,7,3,1,1,2,2,1,,127,17,29,3,2,3,2,34753
2007,16,1519,14,18,7,3,1,1,2,2,1,,127,6,28,3,2,3,2,372566
2006,11,857,3,6,3,3,1,1,,1,4,123,181,22,24,4,3,3,1,218584
2007,16,868,14,24,7,3,1,1,2,2,1,,127,3,21,3,2,3,2,278761
1986,27,914,8,11,7,5,,1,1,1,4,713,,24,30,3,1,1,1,199115
2007,16,868,14,3,7,3,1,1,2,2,1,,127,30,5,3,2,3,2,26926
2007,16,1387,14,42,7,3,1,1,2,2,1,,127,2,8,3,2,3,2,377876
2007,16,1643,14,7,7,3,1,1,2,2,1,,127,17,20,3,2,3,2,371681
2007,16,1928,14,3,7,3,1,1,2,2,1,,127,25,3,3,2,3,2,471238
2007,16,1387,14,19,7,3,1,1,2,2,1,,127,28,10,3,2,3,2,353982
1986,27,1131,8,1,7,5,,1,1,1,4,713,,21,23,3,1,1,1,27964
2007,16,1928,14,2,7,3,1,1,2,2,1,,127,29,26,3,2,3,2,394353
2007,16,1643,14,6,7,3,1,1,2,2,1,,127,23,10,3,2,3,2,367256
2007,16,1643,14,2,7,3,1,1,2,2,1,,127,6,24,3,2,3,2,347345
2007,16,868,14,11,7,3,1,1,2,2,1,,127,3,13,3,2,3,2,272566
2006,11,93,3,9,3,3,1,1,,1,4,123,181,23,27,4,3,3,1,225663
2007,16,1643,14,26,7,3,1,1,2,2,1,,127,24,22,3,2,3,2,38938
1978,4,871,1,8,2,3,1,2,,1,3,87,,11,3,3,3,3,2,16161
2007,16,868,14,12,7,3,1,1,2,2,1,,127,26,28,3,2,3,2,268141
2007,16,1387,14,19,7,3,1,1,2,2,1,,127,14,5,3,2,3,2,367256
1997,4,558,2,12,1,7,1,1,1,2,5,82,56,10,26,4,,,3,113274
1997,4,644,2,6,1,7,1,1,1,2,5,82,56,13,29,4,,,3,134513
2013,14,91,6,18,7,5,1,1,1,1,7,8,93,28,19,4,2,2,3,295575
2013,14,91,6,22,7,5,1,1,1,1,7,8,93,22,10,4,2,2,3,3884
